itemLabel,altLabel_list
leflunomide,"5-Methyl-N-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide|5-Methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide|alpha,alpha,alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-p-toluidide|alpha,alpha,alpha-Trifluoro-5-methyl-4-isoxazolecarboxy-P-toluidide|Arabloc®|Arava®|HWA 486|HWA-486|Leflunomida|Leflunomide|Leflunomidum|lefunamide|Lefunomide|SU-101"
ethanol,"alcohol|Spirit|Lux|Tecsol|Alkohol|Alcohol|Denatured alcohol|Pyro|Ethanol|E1510|1-hydroxyethane|1-Hydroxyethane|Absolute alcohol|Absolute ethanol|Absolute ethyl alcohol|Alcare Hand Degermer|Alcohol (ethyl)|Alcohol anhydrous|Alcohol denatured|Alcohol etílico|Alcohol, denatured|Alcohols|Alcool éthylique|Algrain|Anhydrol|Anhydrous alcohol|Äthanol|Äthylalkohol|C2H5OH|Cologne spirit|Cologne spirits|Dehydrated alcohol|Dehydrated ethanol|Denatured ethanol|Desinfektol EL|Diluted Alcohol|Distilled spirits|drinking alcohol|etanol|éthanol|Ethanol 200 proof|Ethanol solution|Ethicap|Ethyl alc|ethyl alcohol|Ethyl Alcohol|Ethyl alcohol anhydrous|Ethyl alcohol usp|Ethyl hydrate|Ethyl hydroxide|EtOH|Fermentation alcohol|Grain alcohol|Hinetoless|hydroxyethane|Hydroxyethane|Infinity Pure|Jaysol|Jaysol S|Methylcarbinol|Molasses alcohol|Potato alcohol|Punctilious ethyl alcohol|Spirits of wine|Spiritus vini|Spirt|Synasol|Tecsol C|Thanol|Undenatured Ethanol"
adenine,"6-Aminopurine|7H-purin-6-amine|9H-Purin-6-yl-amin|9H-Purin-6-ylamine|9H-Purine-6-amine|Adenin|Adenine|ADENINE|Adeninimine|Vitamin B4|A|Ade|1,6-Dihydro-6-iminopurine|1H-Purin-6-amine|1H-Purine-6-amine|3,6-Dihydro-6-iminopurine|6-Amino-1H-purine|6-Amino-3H-purine|6-Amino-7H-purine|6-Amino-9H-purine|6-Amino-Purine"
aspirin,ASA|Aspirin|Caprin|Bufferin|2-(Acetyloxy)benzoate|2-Acetoxybenzenecarboxylic acid|2-Acetoxybenzoate|2-Acetoxybenzoic acid|2-Carboxyphenyl acetate|Acard|Acenterine|Acetard|Aceticyl|Acetol|Acetonyl|Acetophen|Acetophen®|Acetosal|Acetosalin|Acetylin|Acetylsalicylate|acetylsalicylic acid|Acetylsalicylic acid|Acetylsalicylsäure|Acetyonyl|Acetysal|Acetysalicylic acid|acide 2-(acétyloxy)benzoïque|acide acétylsalicylique|ácido acetilsalicílico|Acidum acetylsalicylicum|Acylpyrin|Asatard|Aspergum|Aspirdrops|Aspirin®|Azetylsalizylsäure|Benaspir|Bialpirinia|Cardioaspirina|Easprin|Ecolen|Ecotrin|Empirin|Endosprin|Endydol|O-(Acetyloxy)benzoate|O-(Acetyloxy)benzoic acid|O-Acetoxybenzoate|o-acetoxybenzoic acid|O-acetylsalicylic acid|o-carboxyphenyl acetate|Persistin|Pharmacin|Polopiryna|Premaspin|Rheumintabletten|Rhodine|Salcetogen|Saletin|salicylic acid acetate|Salospir|Solprin|Solprin acid|Solpyron|Tasprin|Temperal|Toldex|Triaminicin
desoximetasone,"(11beta,16alpha)-9-fluoro-11,21-dihydroxy-16-methylpregna-1,4-diene-3,20-dione|9alpha-fluoro-16alpha-methyl-Delta(1)-corticosterone|A-41-304|desoxymethasone|HOE-304|R-2113|Topicort®"
Ajmaline,"(+)-Ajmaline|(5AR,6S,8S,10S,11S,11as,12ar,13R)-5-methyl-5a,6,8,9,10,11,11a,12-octahydro-5H-6,10|(5AR,6S,8S,10S,11S,11as,12ar,13R)-5-methyl-5a,6,8,9,10,11,11a,12-octahydro-5H-6,10:11,12a-dimethanoindolo[3,2-b]quinolizine-8,13-diol|11,12a-dimethanoindolo[3,2-b]quinolizine-8,13-diol|Ajmalin"
Natalizumab,AN100226m|Antegran|Anti-alpha4 integrin|Anti-VLA4
meclizine,Antivert®|Dramamine®|Meclizine|Meclozine|Nevidoxine|Sea-Legs®
furosemide,2-Furfurylamino-4-chloro-5-sulfamoylbenzoic acid|4-Chloro-5-sulfamoyl-N-furfuryl-anthranilic acid|4-Chloro-N-(2-furylmethyl)-5-sulfamoylanthranilic acid|4-Chloro-N-furfuryl-5-sulfamoylanthranilic acid|dihydroflumethiazide|frusemide|Frusemide|Furosemid|Furosemida|Furosemide|Furosemidu|Furosemidum|Lasix (tn)|Lasix®|methforylthiazidine
eprazinone,1-(2-Phenyl-2-ethoxyethyl)-4-(2-benzyloxypropyl)piperazine|3-(4-(beta-Ethoxyphenethyl)-1-piperazinyl)-2-methylpropiophenone|Eprazinone|Éprazinone
Obinutuzumab,Afutuzumab|GA101|Gazyvaro®|HUMAB<CD20>|HUMABCD20|RG-7159|Ro-5072759|Ro-5072759 HUMAB<CD20>
agomelatine,S20098|AGO178
phenobarbital,"Luminal®|Phenobarbital|phenobarbital sodium|Phenobarbitol|Phenobarbitone|Phenobarbituric Acid|Phenylaethylbarbitursaeure|phenylethylbarbiturate|Phenylethylbarbiturate|Phenylethylbarbituric Acid|Phenylethylbarbitursaeure|Phenylethylmalonylurea|PHENYLETHYLMALONYLUREA|5-ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione|5-Ethyl-5-phenyl-pyrimidine-2,4,6-trione|5-Ethyl-5-phenylbarbituric acid|5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione|5-Phenyl-5-ethylbarbituric acid|fenobarbital"
theophylline,"Liquorice|Elixophyllin|1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione|1,3-dimethyl-7H-purine-2,6-dione|1,3-dimethylxanthine|Accurbron|Acet-theocin|Aerolate|Aerolate III|Aerolate SR|Aminophylline|Aquaphyllin|Armophylline|Asbron|Asmax|Austyn|Bronkodyl|Bronkodyl SR|Choledyl SA|Constant-T|Diphyllin|Doraphyllin|Duraphyl|Dyspne-Inhal|Elixex|Elixicon|Elixomin|Elixophyllin SR|Elixophylline|Euphylline|Euphylong|Labid|Lanophyllin|Liquophylline|Maphylline|Medaphyllin|Nuelin|Nuelin®|Optiphyllin|Parkophyllin|Pseudotheophylline|Quibron T/SR|Quibron-T|Quibron-T/Sr|Respbid|Slo-Bid|Slo-Bid®|Slo-Phyllin|Solosin|Somophyllin-Crt|Somophyllin-DF|Somophyllin-T|Spophyllin retard|Sustaire|Synophylate|Synophylate-L.A. Cenules|T-Phyl|Tefamin|Teofilina|Teofyllamin|Teolair|Theacitin|Theal tabl.|Theal tablets|Theo-Dur|Theo-Dur-Sprinkle|Theobid|Theobid Jr.|Theochron|Theocin|Theoclair-SR|Theoclear 80|Theoclear L.A.-130|Theoclear LA|Theoclear-200|Theoclear-80|Theocontin|Theodel|Theofol|Theograd|Theolair|Theolair-Sr|Theolair®|Theolix|Theolixir|Theona P|Theophyl|Theophyl-225|Theophyl-Sr|Theophyline|Theophyllin|Theophylline|theophylline anhydrous|Theophylline anhydrous|Theophylline-Sr|Theophylline, anhydrous|Theostat 80|Theovent|Uni-Dur|Unifyl|Uniphyl|Uniphyllin|Xanthium|Xantivent"
ciprofloxacin,"Ciloxan|Cipro|1-cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid|1-Cyclopropyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-3-quinolinecarboxylic acid|1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid|1-Cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid|1-Cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydro-quinoline-3-carboxylic acid|1-CYCLOPROPYL-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydroquinoline-3-carboxylic acid|1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid|1-Cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid|1-Cyclopropyl-6-fluoro-7-(4-methyl-piperazin-1-yl)-4-oxo-1,4-dihydro-quinoline-3-carboxylic acid|1-cyclopropyl-6-fluoro-7-hexahydro-1-pyrazinyl-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid|1-Cyclopropyl-6-fluoro-7-hexahydro-1-pyrazinyl-4-oxo-1,4-dihydro-3-quinolinecarboxylic acid|BAY-Q-3939|Ciprobay|Ciprofloxacin|Ciprofloxacine|Ciprofloxacino|Ciprofloxacinum|Velmonit|CPR867"
α-streptozocin,Streptozocin|-nitrosomethylharnstoff|2-Deoxy-2-(((methylnitrosoamino)carbonyl)amino)-D-glucopyranose|2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose|Estreptozocina|N-D-Glucosyl-(2)-n'-nitrosomethylurea|Streptozocine|Streptozocinium|Streptozocinum|Streptozotocin|Streptozotocin 或 Streptozocin|Zanosar|N-D-Glucosyl-(2)-n'|N-D-Glucosyl-(2)-n'-nitrosomethylharnstoff
penicillin G,"PG|PCG|penicillin G sodium|(2S,5R,6R)-3,3-dimethyl-7-oxo-6-(phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|6-(2-phenylacetamido)penicillanic acid|Bencilpenicilina|bensylpenicillin|benzyl benicillin|Benzylpenicillin|Benzylpénicilline|benzylpenicillinic acid|Benzylpenicillinic acid|Benzylpenicillinum|free penicillin II|Free penicillin II|Penicillin G|penicillin-G potassium"
lansoprazole,A-65006|AG 1749|AG-1749|Bamalite|Lansoprazol|Lansoprazole|Lansoprazolum|Lanzol|Lanzopral|Lanzul|Limpidex|Monolitum|Ogastro|Opiren|Prevacid (TN)|Prevacid®
mazindol,Mazanor®|Mazindol|Mazindolo|Mazindolum|Sanorex®
aminocaproic acid,EACA|Amicar®|ε-aminocaproic acid
alpha-linolenic acid,"ALA|9,12,15-Octadecatrienoic acid|Linolenic acid|(9,12,15)-linolenate|linolenate|(9,12,15)-linolenic acid|(9Z,12Z,15Z)-Octadecatrienoate|(9Z,12Z,15Z)-Octadecatrienoic acid|(Z,Z,Z)-9,12,15-Octadecatrienoate|(Z,Z,Z)-9,12,15-octadecatrienoic acid|9-cis,12-cis,15-cis-Octadecatrienoate|9-cis,12-cis,15-cis-octadecatrienoic acid|9,12,15-Octadecatrienoate|a-Linolenate|a-Linolenic acid|All-cis-9,12,15-Octadecatrienoate|all-cis-9,12,15-octadecatrienoic acid|all-cis-9,12,15-Octadecatrienoic acid|alpha-Linolenic acid|Alpha-Linolenic Acid|C18:3(n-3)|cis-9,12,15-Octadecatrienoate|cis-9,12,15-Octadecatrienoic acid|cis-delta(9,12,15)-Octadecatrienoic acid|cis-Delta(9,12,15)-octadecatrienoic acid|cis,cis,cis-9,12,15-Octadecatrienoate|cis,cis,cis-9,12,15-octadecatrienoic acid|cis,cis,cis-9,12,15-Octadecatrienoic acid|Industrene 120|linolenic acid|α-LA|α-linolenic acid|Α-Linolenic acid, ALA"
diclofenac,"[2-(2,6-dichloroanilino)phenyl]acetic acid|CGP-45840B|GP-45840|CAT458|DSG318|VOL458|2-[(2,6-dichlorophenyl)amino]benzeneacetic acid"
biotin,"-(+)-biotin|(+)-Biotin|(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valerate|(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid|(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-D]imidazole-4-valerate|(3aS,4S,6aR)-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-valeric acid|1swk|1swn|1swr|5-(2-Oxohexahydro-1H-thieno[3,4-D]imidazol-4-yl)pentanoate|5-(2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl)pentanoic acid|5-[(1R,5S,6S)-3-oxo-7-thia-2,4-diazabicyclo[3.3.0]oct-6-yl]pentanoic acid|5-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazolidin-4-yl]pentanoic acid|Biodermatin|Bioepiderm|Bios h|Bios II|Biotin|Biotina|Biotine|Biotinum|cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valerate|cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid|cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid|cis-Tetrahydro-2-oxothieno(3,4-d)imidazoline-4-valeric acid|Coenzyme R|D-(+)-biotin|D-Biotin|D-Biotin factor S|D(+)-Biotin|delta-(+)-Biotin|delta-Biotin|delta-Biotin factor S|Factor S|Factor S (vitamin)|Hexahydro-2-oxo-[3aS-(3aa,4b,6aa)]-1H-Thieno[3,4-D]imidazole-4-pentanoate|Hexahydro-2-oxo-[3aS-(3aa,4b,6aa)]-1H-Thieno[3,4-D]imidazole-4-pentanoic acid|Hexahydro-2-oxo-[3as-(3alpha,4beta,6alpha)]-1H-Thieno[3,4-D]imidazole-4-pentanoate|Hexahydro-2-oxo-[3as-(3alpha,4beta,6alpha)]-1H-Thieno[3,4-D]imidazole-4-pentanoic acid|Hexahydro-2-oxo-1H-thieno(3,4-D)imidazole-4-pentanoate|Hexahydro-2-oxo-1H-thieno(3,4-D)imidazole-4-pentanoic acid|Lutavit H2|Meribin|Rovimix H 2|vitamin B7|Vitamin H|Vitamin-h|(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid|Hexahydro-2-oxo-1H-thieno[3,4-d]imidazole-4-pentanoic acid|Vitamin B7"
menthol,"(-)-(1R,3R,4S)-menthol|(-)-(1R,3R,4S)-Menthol|(-)-Menthyl alcohol|(-)-trans-p-Menthan-cis-ol|(1alpha,2beta,5alpha)-5-Methyl-2(1-methylethyl)cyclohexanol|(1R-(1-alpha,2-beta,5-alpha))-5-methyl-2-(1-methylethyl)cyclohexanol|(1R-(1-alpha,2-beta,5-alpha))-5-Methyl-2-(1-methylethyl)cyclohexanol|(1R,2S,5R)-(-)-menthol|(1R,3R,4S)-(-)-menthol|(1R,3R,4S)-(-)-Menthol|(1R)-(-)-Menthol|(r)-(-)-menthol|(R)-(-)-Menthol|1-Menthol|2-Isopropyl-5-methylcyclohexanol|5-Methyl-2-(1-methylethyl)cyclohexanol|5-methyl-2-propan-2-ylcyclohexan-1-ol|D-(-)-Menthol|L-(-)-menthol|L-(-)-Menthol|l-menthol|L-menthol|levomenthol|Levomenthol|Levomentholum|Levomentol|Menthacamphor|Menthol|Menthomenthol|p-Menthan-3-ol|Peppermint camphor|U.S.p. Menthol"
warfarin,4-Hydroxy-3-(3-oxo-1-phenylbutyl)coumarin|Coumadin®|Coumafene|Marevan®|panwarfin|Warfarin|Zoocoumarin
cilostazol,"3,4-dihydro-6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-2(1H)-quinolinone|3,4-dihydro-6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-2(1H)-quinolinone|6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydro-2(1H)-quinolinone|6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydro-2(1H)-quinolinone|6-(4-(1-cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydrocarbostyril|6-(4-(1-Cyclohexyl-1H-tetrazol-5-yl)butoxy)-3,4-dihydrocarbostyril|6-[4-(1-Cyclohexyl-1H-tetrazol-5-yl)-butoxy]-3,4-dihydro-1H-quinolin-2-one|Cilostazol|Cilostazole|Cilostazolum|OPC-13013|OPC-21|Pletal®"
fusidic acid,Fucidate|fucidic acid|Fucidin acid|Fusidate|Fusidic acid|Fusidic Acid|Fusidine|Ramycin|SQ-16603
iniparib,4-iodo-3-nitrobenzamide|BSI-201|Iniparib|SAR240550
tioconazole,Tioconazol|Tioconazole|Tioconazolum|Trosyl|TZ-3|UK-20349|Vagistat|Vagistat-1
ibudilast,Ibudilast|AV-411|Ibudilastum|KC-404|Ketas®|MN-166
isoconazole,Isoconazole|R-15454 [as nitrate salt]
aprindine,Aprindina|Aprindine|Aprindinum|Compound 99170|SID50112831|SID90340712
nevirapine,"11-Cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido(3,2-b|11-Cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido(3,2-b:2',3'-e)(1,4)diazepin-6-one|2',3'-e)(1,4)diazepin-6-one|BIRG-0587|NEV|Nevirapine|NVP|Viramune Xr"
pseudoephedrine,"pseudoephedrine hydrochloride|(+) threo-2-(methylamino)-1-phenyl-1-propanol|(+)-(1S,2S)-Pseudoephedrine|(+)-Pseudoephedrine|(+)-psi-Ephedrine|(+)-threo-Ephedrine|(1S,2S)-(+)-Pseudoephedrine|(1S,2S)-Pseudoephedrine|2-(Methylamino)-1-phenyl-1-propanol|d-Isoephedrine|d-Pseudoephedrine|D-Pseudoephedrine base|d-psi-2-Methylamino-1-phenyl-1-propanol|d-psi-Ephedrine|Isoephedrine|L-(+)-Pseudoephedrine|L(+)-psi-Ephedrine|Pseudoefedrina|Pseudoephedrine|pseudoéphédrine|Pseudoephedrine D-form|Pseudoephedrinum|pseudophedrine sulphate|Psi-ephedrin|Psi-ephedrine|Sinutab®|Sudafed®|trans-Ephedrine|ψ-ephedrine"
potassium chloride,Kaon-Cl|Kaon-CL 10|KCl|Klor-Con|Klor-CON|Klor-Con 10|Klor-Con 10Meq|Klor-Con 8|Klor-Con M10|Klor-Con M15|Klor-Con M20|Klotrix|Micro-K|Micro-K 10|Micro-K Ls|Monopotassium chloride|Muriate of potash|Potassium Chloride|Slow-K|Sylvite|Ten-K|Kato|[KCl]|Chlorid draselny|Chloride of potash|K-dur|K-Lease|K-Tab|K+10|K+8|Kaliumchlorid|Kaon Cl|Kaon Cl-10
rocuronium,Esmeron®|ORG-9426|Rocuronium|Zemuron®
fludarabine phosphate,FAMP|2-Fluoro-ara AMP|2-Fluoroadenine arabinoside 5'-monophosphate|2F-Ara-AMP|9-beta-Arabinofuranosyl-2-fluoroadenine-5'-phosphate|9-beta-D-Arabinofuranosyl-2-fluoroadenine 5'-(dihydrogen phosphate)|9-beta-D-Arabinofuranosyl-2-fluoroadenine 5'-monophosphate|Fludara|Fludarabine 5'-monophosphate|Fludarabine monophosphate|Fludarabine phosphate|Fludarabine Phosphate|Oforta
sodium chloride,salt|NaCl|broncho saline|common salt|table salt
deprenyl,selegiline
aluminum hydroxide,"Al(OH)3|Aluminium hydroxide|Aluminium hydroxide gel, dried|Aluminium hydroxide, dried|Aluminum hydroxide|Aluminum hydroxide gel, dried|Aluminum hydroxide, dried|Amphojel|Dialume|Dried aluminium hydroxide|Dried aluminum hydroxide gel"
L-Glutamine,"(2S)-2-amino-4-carbamoylbutanoic acid|(2S)-2,5-diamino-5-oxopentanoic acid|(2S)-2,5-Diamino-5-oxopentanoic acid|(S)-2,5-diamino-5-oxopentanoic acid|Gln|Glutamic acid 5-amide|Glutamic acid amide|Glutamine|GLUTAMINE|L-(+)-glutamine|L-2-aminoglutaramic acid|L-Glutamic acid gamma-amide|L-glutamic acid γ-amide|L-Glutamin|L-Glutaminsaeure-5-amid|L-Glutaminsäure-5-amid|Levoglutamide|Nutrestore|Q"
